index,name,url,higher_level,desc,range,components,ritual,duration,concentration,casting_time,level,classes,subclasses,school.index,school.name,school.url,material,dc.dc_type.index,dc.dc_type.name,dc.dc_type.url,dc.dc_success,damage.damage_type.index,damage.damage_type.name,damage.damage_type.url,damage.damage_at_character_level.1,damage.damage_at_character_level.5,damage.damage_at_character_level.11,damage.damage_at_character_level.17,area_of_effect.type,area_of_effect.size,heal_at_slot_level.1,heal_at_slot_level.2,heal_at_slot_level.3,heal_at_slot_level.4,heal_at_slot_level.5,heal_at_slot_level.6,heal_at_slot_level.7,heal_at_slot_level.8,heal_at_slot_level.9,attack_type,damage.damage_at_slot_level.1,damage.damage_at_slot_level.2,damage.damage_at_slot_level.3,damage.damage_at_slot_level.4,damage.damage_at_slot_level.5,damage.damage_at_slot_level.6,damage.damage_at_slot_level.7,damage.damage_at_slot_level.8,damage.damage_at_slot_level.9,dc.desc,AtSlot1,AtSlot2,AtSlot3,AtSlot4,AtSlot5,AtSlot6,AtSlot7,AtSlot8,AtSlot9
guidance,Guidance,/api/spells/guidance,[],"['You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.']",Touch,"['V', 'S']",False,Up to 1 minute,True,1 action,0,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light,Light,/api/spells/light,[],"['You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action.', 'If you target an object held or worn by a hostile creature, that creature must succeed on a dexterity saving throw to avoid the spell.']",Touch,"['V', 'M']",False,1 hour,False,1 action,0,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",evocation,Evocation,/api/magic-schools/evocation,A firefly or phosphorescent moss.,dex,DEX,/api/ability-scores/dex,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mending,Mending,/api/spells/mending,[],"['This spell repairs a single break or tear in an object you touch, such as a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no longer than 1 foot in any dimension, you mend it, leaving no trace of the former damage.', ""This spell can physically repair a magic item or construct, but the spell can't restore magic to such an object.""]",Touch,"['V', 'S', 'M']",False,Instantaneous,False,1 minute,0,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",transmutation,Transmutation,/api/magic-schools/transmutation,Two lodestones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resistance,Resistance,/api/spells/resistance,[],"['You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends.']",Touch,"['V', 'S', 'M']",False,Up to 1 minute,True,1 action,0,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",abjuration,Abjuration,/api/magic-schools/abjuration,A miniature cloak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sacred-flame,Sacred Flame,/api/spells/sacred-flame,[],"['Flame-like radiance descends on a creature that you can see within range. The target must succeed on a dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.', ""The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).""]",60 feet,"['V', 'S']",False,Instantaneous,False,1 action,0,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",evocation,Evocation,/api/magic-schools/evocation,,dex,DEX,/api/ability-scores/dex,none,radiant,Radiant,/api/damage-types/radiant,1d8,2d8,3d8,4d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spare-the-dying,Spare the Dying,/api/spells/spare-the-dying,[],['You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs.'],Touch,"['V', 'S']",False,Instantaneous,False,1 action,0,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]",[],necromancy,Necromancy,/api/magic-schools/necromancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thaumaturgy,Thaumaturgy,/api/spells/thaumaturgy,[],"['You manifest a minor wonder, a sign of supernatural power, within range. You create one of the following magical effects within range.', '- Your voice booms up to three times as loud as normal for 1 minute.', '- You cause flames to flicker, brighten, dim, or change color for 1 minute.', '- You cause harmless tremors in the ground for 1 minute.', '- You create an instantaneous sound that originates from a point of your choice within range, such as a rumble of thunder, the cry of a raven, or ominous whispers.', '- You instantaneously cause an unlocked door or window to fly open or slam shut.', '- You alter the appearance of your eyes for 1 minute.', 'If you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time, and you can dismiss such an effect as an action.']",30 feet,['V'],False,1 minute,False,1 action,0,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",transmutation,Transmutation,/api/magic-schools/transmutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bane,Bane,/api/spells/bane,"['When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.']","['Up to three creatures of your choice that you can see within range must make charisma saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw.']",30 feet,"['V', 'S', 'M']",False,Up to 1 minute,True,1 action,1,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",enchantment,Enchantment,/api/magic-schools/enchantment,A drop of blood.,cha,CHA,/api/ability-scores/cha,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bless,Bless,/api/spells/bless,"['When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.']","['You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the attack roll or saving throw.']",30 feet,"['V', 'S', 'M']",False,Up to 1 minute,True,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'life', 'name': 'Life', 'url': '/api/subclasses/life'}]",enchantment,Enchantment,/api/magic-schools/enchantment,A sprinkling of holy water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command,Command,/api/spells/command,"['When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.']","[""You speak a one-word command to a creature you can see within range. The target must succeed on a wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead, if it doesn't understand your language, or if your command is directly harmful to it."", ""Some typical commands and their effects follow. You might issue a command other than one described here. If you do so, the GM determines how the target behaves. If the target can't follow your command, the spell ends."", '***Approach.*** The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you.', '***Drop.*** The target drops whatever it is holding and then ends its turn.', '***Flee.*** The target spends its turn moving away from you by the fastest available means.', '***Grovel.*** The target falls prone and then ends its turn.', ""***Halt.*** The target doesn't move and takes no actions. A flying creature stays aloft, provided that it is able to do so. If it must move to stay aloft, it flies the minimum distance needed to remain in the air.""]",60 feet,['V'],False,1 round,False,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'fiend', 'name': 'Fiend', 'url': '/api/subclasses/fiend'}]",enchantment,Enchantment,/api/magic-schools/enchantment,,wis,WIS,/api/ability-scores/wis,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
